epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,258.08,1.30261,1.15448,1.31933,0.98975,0.90909,0.98115,0.62416,1.46401,0.87752,1.23455,0.000741528,0.000741528,0.000741528
16,274.055,1.36806,1.18063,1.36284,0.89148,0.90909,0.94892,0.60453,1.29749,0.91187,1.10447,0.000733127,0.000733127,0.000733127
17,289.242,1.29559,1.15999,1.33719,1,0.99477,0.995,0.61067,1.33916,0.68061,1.13334,0.000724218,0.000724218,0.000724218
18,304.702,1.34397,1.15902,1.34572,0.91254,1,0.995,0.60237,1.2857,0.75055,1.08371,0.000714814,0.000714814,0.000714814
19,320.642,1.29736,1.11994,1.30723,1,0.99909,0.995,0.55578,1.33076,0.74352,1.19786,0.000704929,0.000704929,0.000704929
20,335.752,1.25506,1.05976,1.27781,0.91612,0.99341,0.98,0.56752,1.35911,0.76087,1.21556,0.000694579,0.000694579,0.000694579
21,350.887,1.27486,1.09062,1.30145,0.91063,1,0.9725,0.6233,1.28918,0.74722,1.13039,0.00068378,0.00068378,0.00068378
22,365.927,1.28014,1.10569,1.32461,0.98822,1,0.995,0.65988,1.23104,0.6011,1.03689,0.000672548,0.000672548,0.000672548
23,382.517,1.29066,1.06417,1.29173,0.99679,1,0.995,0.60598,1.25771,0.66754,1.09308,0.000660901,0.000660901,0.000660901
24,399.055,1.29259,1.12192,1.3188,0.99172,1,0.995,0.70922,1.09308,0.62843,1.00139,0.000648856,0.000648856,0.000648856
25,415.196,1.29761,1.11441,1.33957,0.99253,1,0.995,0.67191,1.26883,0.71544,1.11386,0.000636433,0.000636433,0.000636433
26,431.232,1.26164,1.11356,1.31223,0.9111,1,0.9575,0.52459,1.36542,0.74859,1.12271,0.00062365,0.00062365,0.00062365
27,447.183,1.21324,0.99889,1.27525,0.89574,1,0.9875,0.59571,1.3372,0.79851,1.1565,0.000610527,0.000610527,0.000610527
28,462.411,1.20171,0.95736,1.28675,0.83766,1,0.97297,0.61667,1.43059,0.85528,1.25972,0.000597085,0.000597085,0.000597085
29,477.865,1.24325,1.03593,1.30594,0.98569,0.90909,0.98115,0.61957,1.15243,0.82781,1.05386,0.000583343,0.000583343,0.000583343
30,493.109,1.25309,1.03959,1.29315,0.98963,1,0.995,0.63472,1.04071,0.61483,0.99984,0.000569324,0.000569324,0.000569324
31,507.837,1.2238,0.99065,1.27848,0.90825,1,0.9875,0.67771,1.07091,0.76049,1.03571,0.000555049,0.000555049,0.000555049
32,522.859,1.19174,0.98775,1.24719,0.98331,0.90909,0.9875,0.66597,1.11604,0.82402,1.07254,0.000540539,0.000540539,0.000540539
33,538.57,1.15681,0.93894,1.21538,0.98747,0.90909,0.9875,0.68181,1.07344,0.75718,1.03526,0.000525818,0.000525818,0.000525818
34,554.164,1.17072,0.94391,1.23939,0.99118,1,0.995,0.66248,1.19693,0.60397,1.02823,0.000510908,0.000510908,0.000510908
35,570.513,1.18229,0.92502,1.23967,0.99135,1,0.995,0.67335,1.20219,0.54224,1.03626,0.000495831,0.000495831,0.000495831
36,586.302,1.17065,0.90941,1.23786,1,0.99944,0.995,0.70436,1.12711,0.57949,1.00776,0.000480612,0.000480612,0.000480612
37,601.339,1.15083,0.91421,1.22381,1,0.99813,0.995,0.65384,1.1728,0.56858,1.0408,0.000465273,0.000465273,0.000465273
38,616.707,1.11211,0.88957,1.21251,0.98104,0.90909,0.9875,0.66936,1.19427,0.74018,1.08382,0.000449839,0.000449839,0.000449839
39,631.756,1.13924,0.91272,1.23374,0.98841,0.90909,0.97571,0.62326,1.36421,0.66549,1.24454,0.000434333,0.000434333,0.000434333
40,647.628,1.15433,0.89246,1.22478,1,0.99278,0.995,0.67469,1.11313,0.57295,1.05148,0.000418778,0.000418778,0.000418778
41,664.151,1.17657,0.91444,1.24136,0.99424,1,0.995,0.66555,1.08821,0.51683,0.99522,0.0004032,0.0004032,0.0004032
42,680.079,1.10575,0.83214,1.20036,0.99415,1,0.995,0.71474,1.11453,0.5647,0.98922,0.000387622,0.000387622,0.000387622
43,696.006,1.13451,0.87427,1.22573,0.91142,1,0.9875,0.66869,1.20206,0.60398,1.04575,0.000372067,0.000372067,0.000372067
44,711.923,1.13692,0.87609,1.21248,0.9954,1,0.995,0.63272,1.31938,0.64812,1.12185,0.000356561,0.000356561,0.000356561
45,727.959,1.07223,0.83911,1.18045,0.98946,1,0.995,0.68914,1.12308,0.56622,0.99561,0.000341127,0.000341127,0.000341127
46,743.636,1.08838,0.85189,1.21055,0.99348,1,0.995,0.64894,1.17733,0.50984,0.99291,0.000325788,0.000325788,0.000325788
47,759.296,1.09968,0.80537,1.18783,0.99025,1,0.995,0.66522,1.14453,0.52291,1.00389,0.000310569,0.000310569,0.000310569
48,775.07,1.08818,0.82012,1.19211,0.99068,1,0.995,0.70966,1.06812,0.5113,0.988,0.000295492,0.000295492,0.000295492
49,790.969,1.04881,0.7771,1.14792,0.98982,1,0.995,0.69094,1.10042,0.46506,1.02024,0.000280582,0.000280582,0.000280582
50,805.985,1.07744,0.82017,1.18696,0.99528,1,0.995,0.7036,1.11469,0.47953,0.98215,0.000265861,0.000265861,0.000265861
51,820.763,1.08113,0.77726,1.19272,0.98841,1,0.995,0.71017,1.10709,0.50055,0.9791,0.000251351,0.000251351,0.000251351
52,835.278,1.07116,0.78064,1.184,0.99082,1,0.995,0.71371,1.12613,0.50414,0.97454,0.000237076,0.000237076,0.000237076
53,850.312,1.05685,0.78639,1.17537,0.98928,1,0.995,0.68354,1.10451,0.46792,0.99508,0.000223057,0.000223057,0.000223057
54,865.15,1.05466,0.78414,1.17851,0.99175,1,0.995,0.70518,1.03567,0.45081,0.97015,0.000209315,0.000209315,0.000209315
55,879.932,1.04671,0.7871,1.17855,0.99447,1,0.995,0.69961,1.04818,0.4499,0.9841,0.000195873,0.000195873,0.000195873
56,895.172,1.04293,0.75655,1.17065,0.99404,1,0.995,0.70597,1.08909,0.47599,0.99812,0.00018275,0.00018275,0.00018275
57,909.808,1.02183,0.75608,1.1407,0.99596,1,0.995,0.65694,1.11799,0.49887,0.99676,0.000169967,0.000169967,0.000169967
58,925.492,1.0109,0.71317,1.13675,0.9979,1,0.995,0.68256,1.12308,0.52238,0.98814,0.000157544,0.000157544,0.000157544
59,941.906,1.00084,0.73251,1.13514,0.99415,1,0.995,0.70002,1.13634,0.52769,0.98835,0.000145499,0.000145499,0.000145499
60,958.066,1.02479,0.72399,1.15099,0.99639,1,0.995,0.70999,1.07536,0.49201,0.98626,0.000133852,0.000133852,0.000133852
61,1035.34,0.91832,0.61632,1.09988,1,0.99476,0.995,0.69977,1.07305,0.509,1.01336,0.00012262,0.00012262,0.00012262
62,1050.52,0.89832,0.57575,1.0872,0.99355,1,0.995,0.69868,1.04297,0.48811,0.98222,0.000111821,0.000111821,0.000111821
1,11.7405,1.31183,2.16147,1.27645,0.00333,0.90909,0.53373,0.28509,1.80186,2.96239,1.62729,0.0452387,7.74194e-05,7.74194e-05
2,21.3446,1.29406,1.26942,1.28799,1,0.59885,0.81967,0.37932,1.64985,2.47031,1.3428,0.0403187,0.000157402,0.000157402
3,30.2211,1.29981,1.1369,1.24716,0.94842,0.72727,0.72889,0.3707,1.64422,1.74553,1.46279,0.0353986,0.000237316,0.000237316
4,39.6555,1.2399,1.07933,1.21822,0.67985,0.774,0.82854,0.45523,1.45934,1.23835,1.35895,0.0304784,0.000317109,0.000317109
5,48.6885,1.26142,1.12107,1.2509,0.91555,0.98664,0.98,0.55459,1.37048,0.82466,1.18048,0.025558,0.000396728,0.000396728
6,57.4743,1.31006,1.116,1.27691,0.90672,0.88541,0.96753,0.56704,1.33474,0.96406,1.22359,0.0206374,0.000476122,0.000476122
7,66.0705,1.29738,1.18367,1.25484,0.909,0.90823,0.97297,0.56005,1.39137,1.17216,1.28141,0.0157165,0.000555239,0.000555239
8,74.7849,1.32295,1.15183,1.30657,0.90076,0.90909,0.98115,0.68873,1.13583,0.88981,1.07342,0.0107953,0.000634028,0.000634028
9,83.499,1.28578,1.12269,1.31301,1,0.89975,0.98115,0.5914,1.37848,0.77408,1.2896,0.00587373,0.000712436,0.000712436
10,92.3972,1.30271,1.10571,1.29278,0.89149,0.81818,0.81221,0.59203,1.18892,0.94559,1.12802,0.000951704,0.000790414,0.000790414
11,101.026,1.28259,1.09084,1.301,0.87766,0.81818,0.83379,0.42556,1.54809,1.35269,1.33396,0.000791329,0.000791329,0.000791329
12,109.62,1.25317,1.0809,1.29083,0.98622,0.90909,0.98115,0.63151,1.32761,0.91959,1.10356,0.000789516,0.000789516,0.000789516
13,118.18,1.33145,1.09594,1.3328,1,0.81667,0.92,0.52081,1.43383,0.97062,1.23027,0.000787534,0.000787534,0.000787534
14,126.617,1.26557,1.06089,1.26937,0.96652,0.72727,0.76182,0.42289,1.43212,1.43144,1.41141,0.000785383,0.000785383,0.000785383
15,135.077,1.31771,1.08751,1.2828,0.90851,0.90332,0.89798,0.59286,1.08166,0.79493,1.08298,0.000783064,0.000783064,0.000783064
16,143.562,1.344,1.07693,1.32413,0.98647,0.90909,0.98115,0.66329,1.1664,0.69075,1.04819,0.000780579,0.000780579,0.000780579
17,152.237,1.30011,1.08799,1.29929,0.98812,1,0.995,0.63658,1.19747,0.68993,1.02639,0.000777929,0.000777929,0.000777929
18,161.016,1.25007,1.03662,1.26217,0.83819,1,0.92346,0.62742,1.10014,0.63942,1.00086,0.000775113,0.000775113,0.000775113
19,169.375,1.27269,1.01017,1.27984,0.91515,0.98174,0.91208,0.57134,1.33628,0.76832,1.13617,0.000772135,0.000772135,0.000772135
20,177.884,1.27025,1.03638,1.28251,0.90011,0.90909,0.86398,0.53046,1.23528,0.83989,1.08898,0.000768995,0.000768995,0.000768995
21,186.475,1.19725,0.93984,1.23631,0.90687,1,0.9875,0.65981,1.1368,0.65791,1.05668,0.000765695,0.000765695,0.000765695
22,195.008,1.24992,0.96498,1.26325,0.90259,0.90909,0.96753,0.63404,1.19641,0.67069,1.03322,0.000762235,0.000762235,0.000762235
23,203.462,1.23934,0.98527,1.25936,1,0.81643,0.90549,0.58738,1.26288,1.08579,1.11836,0.000758618,0.000758618,0.000758618
24,212,1.20031,0.98775,1.2416,0.95798,0.90909,0.90954,0.56729,1.28694,0.91284,1.11424,0.000754846,0.000754846,0.000754846
25,220.668,1.24148,0.97828,1.26387,0.98387,0.90909,0.935,0.59529,1.45326,0.96143,1.1828,0.000750918,0.000750918,0.000750918
26,229.2,1.17401,0.88159,1.22627,0.98286,0.90909,0.97571,0.61296,1.26113,0.763,1.05297,0.000746839,0.000746839,0.000746839
27,237.876,1.19176,0.89876,1.24386,1,0.99314,0.995,0.64635,1.18947,0.74167,1.01949,0.000742609,0.000742609,0.000742609
28,246.608,1.19157,0.87644,1.22862,1,0.99439,0.995,0.66528,1.05618,0.58507,0.97475,0.000738229,0.000738229,0.000738229
