epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,21714.3,0.5875,1.1901,0.87961,0.87476,0.8451,0.91048,0.79864,0.51373,1.11779,0.85498,0.000458416,0.000458416,0.000458416
55,22118.3,0.5855,1.18515,0.87778,0.87488,0.84409,0.91047,0.79906,0.51351,1.11682,0.85491,0.00044296,0.00044296,0.00044296
56,22520.8,0.58441,1.18645,0.87818,0.87075,0.85049,0.91015,0.79936,0.51307,1.11568,0.8548,0.000427565,0.000427565,0.000427565
57,22922.5,0.58265,1.17803,0.87767,0.87038,0.85118,0.91024,0.79941,0.51282,1.11564,0.85472,0.000412246,0.000412246,0.000412246
58,23323.5,0.582,1.17704,0.87809,0.87068,0.85173,0.91021,0.79987,0.51261,1.11485,0.85464,0.000397019,0.000397019,0.000397019
59,23724.4,0.5782,1.16668,0.87586,0.87092,0.85148,0.91033,0.79983,0.51239,1.11407,0.85462,0.000381899,0.000381899,0.000381899
60,24125.8,0.57757,1.16494,0.87588,0.87119,0.85055,0.91061,0.8005,0.51217,1.11342,0.85452,0.000366899,0.000366899,0.000366899
61,24527.8,0.57606,1.1607,0.87557,0.87102,0.85162,0.91095,0.8008,0.51194,1.11218,0.85439,0.000352037,0.000352037,0.000352037
62,24929.2,0.57392,1.15649,0.87509,0.87182,0.85142,0.91104,0.8005,0.51165,1.11081,0.85426,0.000337325,0.000337325,0.000337325
63,25330.6,0.57381,1.15143,0.87447,0.87082,0.85197,0.91108,0.80042,0.51136,1.10961,0.85417,0.000322778,0.000322778,0.000322778
64,25731.9,0.57352,1.14944,0.87561,0.87048,0.85156,0.91116,0.80047,0.51108,1.10855,0.85409,0.000308412,0.000308412,0.000308412
65,26133,0.5715,1.14715,0.87425,0.87062,0.85181,0.91118,0.80072,0.5108,1.10785,0.85401,0.000294239,0.000294239,0.000294239
66,26533.8,0.57123,1.14461,0.87388,0.87269,0.85044,0.91108,0.80113,0.51043,1.10684,0.85383,0.000280275,0.000280275,0.000280275
67,26934.8,0.56772,1.13429,0.87252,0.87337,0.84993,0.91095,0.80103,0.51012,1.10592,0.85366,0.000266532,0.000266532,0.000266532
68,27335.7,0.56607,1.13401,0.87332,0.87451,0.84844,0.91113,0.80154,0.50986,1.10553,0.85353,0.000253024,0.000253024,0.000253024
69,27738.6,0.56582,1.13107,0.87302,0.87376,0.8483,0.91102,0.80139,0.50965,1.10518,0.85346,0.000239766,0.000239766,0.000239766
70,28139.6,0.56446,1.12571,0.87151,0.87538,0.84668,0.91122,0.80194,0.50941,1.10473,0.85336,0.000226769,0.000226769,0.000226769
71,28540.6,0.56249,1.12164,0.87217,0.87672,0.84646,0.91102,0.80173,0.50925,1.10424,0.85327,0.000214046,0.000214046,0.000214046
72,28941.4,0.56453,1.12378,0.87275,0.87779,0.84566,0.9112,0.80192,0.50907,1.10347,0.85318,0.000201611,0.000201611,0.000201611
73,29342.9,0.56283,1.11573,0.87133,0.87688,0.84606,0.91117,0.80157,0.50883,1.10296,0.85305,0.000189475,0.000189475,0.000189475
74,29744.5,0.56218,1.11546,0.8709,0.8758,0.84781,0.91125,0.802,0.5086,1.10294,0.85297,0.000177651,0.000177651,0.000177651
75,30146.3,0.56025,1.11439,0.87069,0.88208,0.83849,0.91123,0.8017,0.50839,1.10214,0.8529,0.000166149,0.000166149,0.000166149
76,30546.5,0.55889,1.11132,0.87134,0.88235,0.83857,0.91096,0.80168,0.50832,1.10216,0.85281,0.000154982,0.000154982,0.000154982
77,30948.3,0.55802,1.10794,0.87009,0.88173,0.8378,0.91102,0.80162,0.50814,1.10185,0.85272,0.000144161,0.000144161,0.000144161
78,31350,0.55688,1.10298,0.8702,0.88041,0.83976,0.91113,0.80169,0.50792,1.10131,0.85266,0.000133695,0.000133695,0.000133695
79,31752,0.55506,1.09968,0.86956,0.88058,0.8406,0.9111,0.80201,0.50773,1.10112,0.85262,0.000123596,0.000123596,0.000123596
80,32153.1,0.55628,1.10057,0.87026,0.87847,0.84244,0.91111,0.80215,0.50759,1.10056,0.85257,0.000113873,0.000113873,0.000113873
81,32555.5,0.55595,1.09661,0.86981,0.87945,0.84124,0.91113,0.80231,0.50744,1.10045,0.85243,0.000104537,0.000104537,0.000104537
82,32957.3,0.55636,1.09823,0.86965,0.87959,0.84182,0.91131,0.80258,0.50724,1.10041,0.85237,9.55951e-05,9.55951e-05,9.55951e-05
83,33358.3,0.55055,1.08898,0.8691,0.87934,0.84217,0.91125,0.80269,0.50716,1.10017,0.8523,8.70577e-05,8.70577e-05,8.70577e-05
84,33760.3,0.552,1.08894,0.87043,0.87896,0.84195,0.91113,0.80239,0.50681,1.09999,0.85219,7.89327e-05,7.89327e-05,7.89327e-05
